iter	Logloss
0	0.6751406375
1	0.6583302635
2	0.6441280299
3	0.62960291
4	0.6170589593
5	0.6054214665
6	0.5938530442
7	0.5839700369
8	0.5738752923
9	0.5646498225
10	0.5574168441
11	0.5503874643
12	0.5450074294
13	0.5381969374
14	0.5330663745
15	0.5271528209
16	0.5225273493
17	0.5182069311
18	0.5131281167
19	0.5095811467
20	0.5061022323
21	0.5027867074
22	0.498861005
23	0.4962516807
24	0.4928097817
25	0.4900835898
26	0.4873932989
27	0.4846926959
28	0.4821000691
29	0.4804141754
30	0.4785611376
31	0.4770610074
32	0.4756326994
33	0.4742799168
34	0.4728931137
35	0.4715587739
36	0.4699215848
37	0.4683026277
38	0.4667231284
39	0.465924802
40	0.4652872657
41	0.46470591
42	0.463397058
43	0.462150905
44	0.4614639582
45	0.4610236226
46	0.460388571
47	0.4593655543
48	0.4585966108
49	0.4577891713
50	0.4569126737
51	0.4560749157
52	0.4558098244
53	0.4549586349
54	0.4545640124
55	0.4542215358
56	0.4538492631
57	0.4534619653
58	0.453251722
59	0.4526990016
60	0.4523433791
61	0.4518397738
62	0.4515989121
63	0.4510247751
64	0.4509001457
65	0.4503651266
66	0.4502637243
67	0.4498663666
68	0.4496367949
69	0.4491494955
70	0.4490499523
71	0.4489375634
72	0.4487747519
73	0.4486919879
74	0.4485635644
75	0.4482848255
76	0.4480951421
77	0.4476854713
78	0.447335685
79	0.4470989446
80	0.4468131727
81	0.4467326775
82	0.4466310244
83	0.4465066077
84	0.4463194288
85	0.4460812605
86	0.4458263149
87	0.445683687
88	0.4455966172
89	0.4454211323
90	0.4453112606
91	0.4452320656
92	0.4451494466
93	0.4449523047
94	0.4447948426
95	0.4445417472
96	0.4444149121
97	0.4442897159
98	0.444207357
99	0.4441101572
100	0.4439517202
101	0.4437916074
102	0.4435530115
103	0.4435125405
104	0.4433162507
105	0.4431992769
106	0.443121574
107	0.4430303585
108	0.442979889
109	0.4429148219
110	0.4427493451
111	0.4426563392
112	0.4425715241
113	0.442490147
