iter	Passed	Remaining
0	26	13144
1	50	12478
2	75	12534
3	100	12475
4	125	12447
5	150	12353
6	172	12145
7	196	12075
8	216	11838
9	235	11561
10	260	11594
11	274	11150
12	285	10708
13	300	10427
14	322	10433
15	336	10184
16	357	10166
17	381	10224
18	403	10215
19	421	10122
20	445	10156
21	482	10477
22	504	10454
23	524	10406
24	587	11163
25	626	11424
26	662	11603
27	683	11518
28	724	11761
29	741	11617
30	760	11506
31	784	11476
32	808	11435
33	835	11448
34	857	11392
35	882	11368
36	917	11484
37	944	11479
38	969	11459
39	991	11398
40	1003	11236
41	1012	11043
42	1036	11019
43	1061	11000
44	1082	10947
45	1096	10817
46	1119	10788
47	1140	10735
48	1151	10603
49	1177	10595
50	1196	10534
51	1221	10522
52	1230	10380
53	1256	10374
54	1277	10333
55	1301	10316
56	1323	10289
57	1346	10259
58	1360	10167
59	1381	10129
60	1404	10111
61	1428	10094
62	1449	10057
63	1473	10037
64	1484	9935
65	1507	9911
66	1516	9800
67	1539	9779
68	1560	9744
69	1582	9723
70	1596	9646
71	1608	9559
72	1630	9534
73	1641	9449
74	1661	9412
75	1685	9405
76	1708	9384
77	1739	9410
78	1771	9440
79	1804	9472
80	1824	9439
81	1847	9418
82	1872	9406
83	1900	9412
84	1926	9406
85	1950	9389
86	1974	9375
87	1998	9354
88	2020	9329
89	2041	9299
90	2061	9265
91	2101	9318
92	2124	9299
93	2147	9274
94	2170	9253
95	2199	9258
96	2240	9307
97	2261	9277
98	2279	9231
99	2302	9209
100	2325	9186
101	2351	9176
102	2377	9163
103	2407	9166
104	2432	9152
105	2457	9134
106	2480	9108
107	2506	9095
108	2528	9069
109	2551	9046
110	2577	9033
111	2604	9021
112	2627	8997
113	2649	8972
114	2675	8958
115	2707	8962
116	2732	8944
117	2758	8929
118	2782	8909
119	2802	8876
120	2828	8858
121	2854	8844
122	2877	8820
123	2898	8789
124	2921	8763
125	2946	8744
126	2968	8717
127	2989	8687
128	3014	8668
129	3035	8639
130	3059	8617
131	3085	8600
132	3100	8554
133	3124	8534
134	3136	8480
135	3163	8466
136	3183	8435
137	3203	8402
138	3231	8392
139	3249	8355
140	3271	8328
141	3297	8312
142	3321	8292
143	3340	8258
144	3366	8242
145	3386	8210
146	3409	8186
147	3433	8165
148	3457	8145
149	3481	8123
150	3501	8093
151	3525	8071
152	3545	8041
153	3566	8014
154	3588	7988
155	3610	7961
156	3634	7940
157	3660	7922
158	3685	7903
159	3713	7890
160	3739	7873
161	3773	7873
162	3796	7848
163	3822	7830
164	3859	7836
165	3884	7816
166	3913	7804
167	3937	7781
168	3959	7754
169	3980	7726
170	4001	7698
171	4024	7674
172	4048	7653
173	4073	7632
174	4098	7610
175	4117	7580
176	4142	7559
177	4162	7529
178	4188	7510
179	4214	7491
180	4236	7465
181	4255	7435
182	4281	7415
183	4308	7399
184	4328	7370
185	4351	7346
186	4372	7318
187	4401	7304
188	4430	7290
189	4460	7277
190	4487	7260
191	4511	7237
192	4531	7207
193	4554	7183
194	4578	7160
195	4600	7135
196	4622	7110
197	4643	7082
198	4664	7054
199	4689	7033
200	4714	7013
201	4737	6988
202	4760	6964
203	4785	6943
204	4811	6923
205	4833	6897
206	4858	6877
207	4885	6858
208	4911	6838
209	4931	6809
210	4953	6784
211	4975	6759
212	4999	6736
213	5021	6711
214	5046	6688
215	5072	6668
216	5090	6638
217	5114	6616
218	5140	6595
219	5163	6572
220	5192	6555
221	5221	6538
222	5250	6521
223	5274	6498
224	5296	6473
225	5320	6449
226	5343	6425
227	5369	6405
228	5392	6381
229	5415	6356
230	5441	6336
231	5469	6318
232	5490	6292
233	5510	6263
234	5532	6239
235	5556	6216
236	5582	6194
237	5609	6175
238	5630	6149
239	5657	6129
240	5681	6105
241	5704	6081
242	5725	6054
243	5747	6030
244	5778	6013
245	5805	5994
246	5828	5969
247	5851	5945
248	5876	5924
249	5897	5897
250	5920	5873
