datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,lat,log,Neighbourhood
2016-04-27,1461726000,92.8,75.3,82.4,97.0,75.3,84.7,69.4,66.4,0.0,0.0,0.0,,,,,20.8,39.4,1011.8,2.4,6.8,235.5,20.3,8.0,05:56:28,1461747388,17:21:08,1461788468,0.62,Clear,Clear conditions throughout the day.,clear-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-04-28,1461812400,80.6,73.4,77.0,83.3,73.4,77.3,67.4,72.4,0.0,0.0,0.0,,,,,17.2,205.3,1015.8,87.0,7.2,56.5,4.8,2.0,05:56:49,1461833809,17:20:31,1461874831,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-04-29,1461898800,75.2,71.6,73.3,75.2,71.6,73.3,65.5,76.6,0.01,100.0,4.17,['rain'],,,,16.1,226.5,1016.1,89.1,7.2,77.4,6.6,3.0,05:57:10,1461920230,17:19:53,1461961193,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-04-30,1461985200,80.6,69.8,75.4,83.9,69.8,75.8,68.5,79.3,0.0,0.0,0.0,,,,,12.8,183.0,1014.5,45.7,6.6,183.9,15.9,7.0,05:57:31,1462006651,17:19:17,1462047557,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-01,1462071600,77.0,69.8,73.6,77.0,69.8,73.6,62.1,68.0,0.0,0.0,0.0,,,,,17.2,206.6,1019.0,90.3,6.3,201.3,17.4,7.0,05:57:53,1462093073,17:18:42,1462133922,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-02,1462158000,80.6,66.2,73.3,81.5,66.2,73.4,57.9,59.5,0.0,0.0,0.0,,,,,17.2,200.8,1020.2,31.0,7.2,236.6,20.4,8.0,05:58:15,1462179495,17:18:07,1462220287,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-03,1462244400,78.8,64.0,71.8,78.8,64.0,71.8,65.4,80.8,0.0,0.0,0.0,,,,,17.2,190.4,1018.7,53.7,7.0,226.7,19.7,8.0,05:58:37,1462265917,17:17:33,1462306653,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-04,1462330800,86.3,68.0,76.6,89.5,68.0,77.6,67.6,75.3,0.0,0.0,0.0,,,,,15.0,31.2,1017.2,32.5,7.2,231.5,19.8,8.0,05:58:59,1462352339,17:17:00,1462393020,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-05,1462417200,80.7,71.0,75.7,83.3,71.0,76.3,67.2,75.7,0.0,0.0,0.0,,,,,17.2,188.6,1018.6,21.3,7.1,221.5,19.2,8.0,05:59:21,1462438761,17:16:28,1462479388,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
2016-05-06,1462503600,82.4,67.7,75.5,85.4,67.7,76.3,67.3,76.7,0.0,0.0,0.0,,,,,13.9,177.5,1019.1,30.8,7.2,209.4,18.0,8.0,05:59:44,1462525184,17:15:57,1462565757,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83649099999', 'SBVT']",obs,-20.3199474,-40.3427114,PARQUE MOSCOSO
